song_id,title,artist,version,song_type
539,The Quick Brown Fox Jumps Over The Lazy Dog,Doin,Prime2,arcade
670,The Reverie,uma,XX,arcade
46,Till the end of time,BanYa,Rebirth,arcade
502,Time Attack <Blue>,r300k,Prime2,arcade
584,Timing,HIGHTEEN,XX,arcade
124,Toccata,Banya Production,NXA,arcade
43,Top City,BanYa,Rebirth,arcade
637,Transacaglia in G-minor,ATAS,XX,arcade
527,Travel to Future,Neutral Moon,Prime2,arcade
72,Tream Vook of the war REMIX,BanYa,Exceed2,remix
228,Tribe Attacker,Hi-G,Fiesta2,arcade
529,Tritium,Memme,Prime2,arcade
690,Tropicanic,SHK,XX,arcade
211,Trotpris,Doin,FiestaEX,shortcut
12,Turkey March,BanYa,3rd,arcade
153,Turkey March -Minimal Tunes-,Banya Production,Fiesta,arcade
132,Turkey Virus,Banya Production,NXA,remix
513,Twist of Fate (fet. Ruriling),Jehezukiel,Prime2,arcade
144,U Got 2 Know,MAX,Fiesta,arcade
251,U Got Me Rocking,MAX,Fiesta2,arcade
269,U Got Me Rocking,MAX,Fiesta2,shortcut
92,Ugly Dee,Banya Production,NX,arcade
549,Ugly Duck Toccata,BanYa Production,NXA,remix
817,Ultimate Eyes,HyuN,phoenix,arcade
685,Ultimatum,Cosmograph,XX,arcade
788,Underworld ft. Skizzo (PIU Edit.),MonstDeath vs Neutral Moon,phoenix,arcade
248,Unique,SHK,Fiesta2,arcade
268,Unique,SHK,Fiesta2,shortcut
526,Up & Up (Produced by AWAL),Skizzo,Prime2,arcade
632,Uranium,Memme,XX,arcade
234,Utopia,Smiley,Fiesta2,arcade
479,Utsushiyo No Kaze feat. Kana,void,Prime2,arcade
509,V3,Beautiful Day,Prime2,arcade
560,VANISH,Applesoda,XX,arcade
239,VVV,ZiGZaG,Fiesta2,arcade
146,Vacuum,Doin,Fiesta,arcade
207,Vacuum Cleaner,Doin,FiestaEX,remix
822,Vanish 2 - Roar of the invisible dragon,Applesoda,phoenix,arcade
704,Vector,Zekk,phoenix,arcade
705,Versailles,Hyun & MIIM,phoenix,arcade
289,Violet Perfume,SHK,Prime,arcade
540,Visual Dream II (In Fiction),Aragon,Prime2,arcade
735,Viyella's Nightmare,Laur,phoenix,arcade
52,Vook,BanYa,Rebirth,arcade
407,Vulcan,Memme,Prime2,remix
95,WI-EX-DOC-VA,YAHPP,NX,remix
534,Walts of Doge,Cashew,Prime2,arcade
196,We Got 2 Know,MAX,FiestaEX,arcade
48,We will meet again,BanYa,Rebirth,arcade
551,Wedding Crashers,SHK,XX,arcade
581,Wedding Crashers - SHORT CUT -,SHK,XX,shortcut
263,What Are You Doin?,Doin & MAX,Fiesta2,remix
198,What Happened,Throwdown,FiestaEX,arcade
629,Wicked Legend,D_AAN,XX,arcade
45,Will-O-The-Wisp,BanYa,Rebirth,arcade
258,Windmill,Yak Won,Fiesta2,arcade
44,Winter,BanYa,Rebirth,arcade
176,Winter,Banya,Fiesta,shortcut
78,Witch Doctor,BanYa,Zero,arcade
179,Witch Doctor,Banya,Fiesta,shortcut
85,Witch Doctor #1,YAHPP,NX,arcade
544,With My Lover,BanYa,3rd,arcade
64,X Treme,BanYa,Exceed,arcade
203,X-Rave,DM Ashura,FiestaEX,arcade
215,X-Rave,DM Ashura,FiestaEX,shortcut
141,XTREE,YAHPP,Fiesta,arcade
589,XX OPENING,MAX,XX,shortcut
149,Xenesis,Banya Production,Fiesta,arcade
586,Xeroize,FE,XX,arcade
235,Xuxa,Smiley,Fiesta2,arcade
592,YOU AND I,Dreamcatcher,XX,arcade
260,Yeo rae a,SID-SOUND,Fiesta2,arcade
737,Yo! Say!! Fairy!!!,MYUKKE,phoenix,arcade
274,Yog-Sothoth,Nato,Prime,arcade
377,Yog-Sothoth,Nato,Prime,shortcut
341,Yoropiku Pikuyoro!,Bakusute Sotokanda Icchome,Prime,arcade
280,You Got Me Crazy,MAX,Prime,arcade
303,You again my love,CYO Style & Henohenomoheji,Prime,arcade
633,Your Mind,Roy Mikelate,XX,arcade
761,hercules,Abel,phoenix,arcade
740,iRELLiA,HyuN,phoenix,arcade
133,msgoon RMX pt.1,msgoon,NXA,remix
165,msgoon RMX pt.6,msgoon,Fiesta,remix
331,video out C,Vospi,Prime,arcade
762,wither garden,uma feat. Kanon Tachibana,phoenix,arcade
834,†DOOF†SENC†,Kobaryo,phoenix,arcade
